year,country,survival,children,population
1962,Lebanon,0.9295,5.7,2028043
1962,Latvia,0.96958,1.86,2184569
1962,Kuwait,0.8951,7.31,336991
1962,Kenya,0.8103,8.04,8628949
1962,Jordan,0.8479,7.9,970642
1962,Japan,0.9672,1.97,94263847
1962,Jamaica,0.9229,5.63,1678884
1962,Italy,0.9527,2.44,50245528
1962,Ireland,0.9675,3.98,2835226
1962,Iraq,0.81,6.51,7773193
1962,Iran,0.7495,6.93,23163924
1962,Indonesia,0.7936,5.65,96582241
1962,India,0.7726,5.84,466337036
1962,Iceland,0.9799,3.95,182853
1962,Hungary,0.9451,1.86,10040803
1962,Honduras,0.8027,7.443,2136100
1962,Haiti,0.7545,6.3,4024114
1962,Guyana,0.9082,6.29,591554
1962,Guinea,0.6756,6.49,3645873
1962,Guatemala,0.7968,6.49,4391307
1962,Greece,0.9477,2.22,8431099
1962,Ghana,0.7895,6.83,7179577
1962,Gambia,0.6445,5.67,389768
1962,France,0.9742,2.82,46919371
1962,Finland,0.9761,2.66,4494265
1962,Fiji,0.9297,6.09,421563
1962,Estonia,0.9701,1.943,1244386
1962,El Salvador,0.8178,6.75,2951387
1962,Egypt,0.7113,6.58,29408697
1962,Ecuador,0.8369,6.71,4706566
1962,Denmark,0.9764,2.544,4648157
1962,Cuba,0.9493,4.51,7441909
1962,Costa Rica,0.8876,7.22,1430880
1962,"Congo, Rep.",0.8321,5.97,1067597
1962,Colombia,0.8687,6.78,16984652
1962,China,0.8321796,5.6,675641408
1962,Chile,0.859,5.46,8050234
1962,Canada,0.9696,3.701,18630957
1962,Burundi,0.7504,6.8,3045392
1962,Burkina Faso,0.6729,6.34,5033296
1962,Bulgaria,0.9509,2.18,8008652
1962,Brazil,0.8336,6.14,77279855
1962,Botswana,0.8389,6.65,549953
1962,Bolivia,0.7227,6.65,3507408
1962,Benin,0.7073,6.39,2485248
1962,Belgium,0.9687,2.63,9271655
1962,Belarus,0.96341,2.695,8356938
1962,Barbados,0.9233,4.27,232490
1962,Bangladesh,0.7521,6.79,52977254
1962,Bahrain,0.8343,7.17,172294
1962,Austria,0.9618,2.769,7124432
1962,Australia,0.9762,3.431,10697112
1962,Argentina,0.9278,3.09,21297317
1962,Algeria,0.7668,7.36,11209845
1962,Albania,0.8404741028,5.81,1712563
1962,Afghanistan,0.6518,7.7,10056480
1963,Zimbabwe,0.8558,7.31,4140773
1963,Zambia,0.8004,7.18,3328063
1963,Venezuela,0.9234,6.58,8453781
1963,Vanuatu,0.8594,6.94,69962
1963,Uruguay,0.9399,2.87,2634538
1963,United States,0.9718,3.24,194592775
1963,United Kingdom,0.9752,2.8,53640457
1963,United Arab Emirates,0.8465,6.88,121678
1963,Ukraine,0.97038,2.18,44368350
1963,Uganda,0.7876,7.06,7488366
1963,Turkey,0.7827,6.02,30373939
1963,Tunisia,0.7568,7.23,4456986
1963,Trinidad and Tobago,0.9377,4.83,875083
1963,Tonga,0.9456,7.23,69001
1963,Togo,0.748,6.68,1625493
1963,Thailand,0.8689,6.16,29913729
1963,Tanzania,0.769,6.8,11005471
1963,Syria,0.8305,7.54,5034188
1963,Switzerland,0.9757,2.58,5618068
1963,Sweden,0.9823,2.31,7623278
1963,Swaziland,0.7952,6.76,373904
1963,Sudan,0.8135,6.6,12413677
1963,Sri Lanka,0.9008,5.18,10717705
1963,Spain,0.9541,2.82,31415410
1963,Solomon Islands,0.8581,6.39,136459
1963,Slovak Republic,0.96847,2.86,4256354
1963,Singapore,0.9608,4.768,1790662
1963,Sierra Leone,0.6076,6.03,2295070
1963,Senegal,0.7007,6.9,3307493
1963,Sao Tome and Principe,0.8741,6.31,64246
1963,Rwanda,0.7928,8.14,3032745
1963,Russia,0.96193,2.47,124376611
1963,Romania,0.9195,2.22,18745088
1963,Portugal,0.9032,3.19,8933839
1963,Poland,0.9473,2.6,30316767
1963,Philippines,0.9055,6.95,28727140
1963,Peru,0.7883,6.84,10825440
1963,Paraguay,0.9158,6.45,2063215
1963,Papua New Guinea,0.8152,6.28,2075625
1963,Panama,0.9114,5.91,1231377
1963,Pakistan,0.7998,6.6,49413973
1963,Oman,0.7183,7.26,599034
1963,Norway,0.9791,2.91,3665487
1963,Nigeria,0.717,6.34,48992838
1963,Nicaragua,0.8155,7.11,1942338
1963,New Zealand,0.9752,3.40762,2530790
1963,Netherlands,0.9807,3.19,11895425
1963,Nepal,0.7124,6.1,10294480
1963,Mozambique,0.6996,6.6,8125366
1963,Morocco,0.7925,7.15,12610932
1963,Mexico,0.8683,6.77,42264182
1963,Mauritius,0.9077,5.99,716944
1963,Mauritania,0.7478,6.8,929704
1963,Malta,0.9632,3.01,308639
1963,Mali,0.5759,6.77,5450558
1963,Maldives,0.6365,7.15,97757
1963,Malaysia,0.9181,6.1,8998621
1963,Malawi,0.6448,7.02,3784224
1963,Luxembourg,0.969,2.39,324974
1963,Lithuania,0.96052,2.39,2887227
1963,Libya,0.7819,7.21,1504811
1963,Liberia,0.6954,6.48,1199785
1963,Lesotho,0.8124,5.81,898637
1963,Lebanon,0.9311,5.66,2088392
1963,Latvia,0.96919,1.84,2210916
1963,Kuwait,0.9031,7.35,383526
1963,Kenya,0.8158,8.08,8908388
1963,Jordan,0.8555,7.98,1008891
1963,Japan,0.9701,1.97,95228052
1963,Jamaica,0.9246,5.71,1707126
1963,Italy,0.9549,2.47,50647763
1963,Ireland,0.9689,4.0,2847099
1963,Iraq,0.8204,6.69,7991619
1963,Iran,0.7568,6.92,23775945
1963,Indonesia,0.7992,5.63,99018230
1963,India,0.7778,5.83,476025147
1963,Iceland,0.9804,3.85,186092
